Epochs,Batch size,Optimizer,Loss,Kernel,Bias,Accuracy
50,50,adam,MeanSquaredError,None,zeros,100.0
50,75,adam,MeanSquaredError,None,zeros,99.87691044807434
50,100,adam,MeanSquaredError,None,zeros,99.95076060295105
75,5,adam,MeanSquaredError,None,zeros,99.90152716636658
75,10,adam,MeanSquaredError,None,zeros,99.92614388465881
75,20,adam,MeanSquaredError,None,zeros,99.92614388465881
75,50,adam,MeanSquaredError,None,zeros,99.87691044807434
75,75,adam,MeanSquaredError,None,zeros,99.97538328170776
75,100,adam,MeanSquaredError,None,zeros,99.95076060295105
100,5,adam,MeanSquaredError,None,zeros,99.92614388465881
100,10,adam,MeanSquaredError,None,zeros,81.88084959983826
100,20,adam,MeanSquaredError,None,zeros,99.95076060295105
100,50,adam,MeanSquaredError,None,zeros,99.87691044807434
100,75,adam,MeanSquaredError,None,zeros,81.88084959983826
100,100,adam,MeanSquaredError,None,zeros,99.92614388465881
5,5,adam,MeanSquaredError,random_uniform,None,81.88084959983826
5,10,adam,MeanSquaredError,random_uniform,None,98.44903945922852
5,20,adam,MeanSquaredError,random_uniform,None,81.88084959983826
5,50,adam,MeanSquaredError,random_uniform,None,18.119153380393982
5,75,adam,MeanSquaredError,random_uniform,None,93.5007393360138
5,100,adam,MeanSquaredError,random_uniform,None,89.83259201049805
10,5,adam,MeanSquaredError,random_uniform,None,97.538161277771
10,10,adam,MeanSquaredError,random_uniform,None,97.538161277771
10,20,adam,MeanSquaredError,random_uniform,None,99.90152716636658
10,50,adam,MeanSquaredError,random_uniform,None,81.88084959983826
10,75,adam,MeanSquaredError,random_uniform,None,18.119153380393982
10,100,adam,MeanSquaredError,random_uniform,None,96.72574996948242
20,5,adam,MeanSquaredError,random_uniform,None,99.87691044807434
20,10,adam,MeanSquaredError,random_uniform,None,97.538161277771
20,20,adam,MeanSquaredError,random_uniform,None,99.90152716636658
20,50,adam,MeanSquaredError,random_uniform,None,97.538161277771
20,75,adam,MeanSquaredError,random_uniform,None,99.87691044807434
20,100,adam,MeanSquaredError,random_uniform,None,99.87691044807434
50,5,adam,MeanSquaredError,random_uniform,None,99.87691044807434
50,10,adam,MeanSquaredError,random_uniform,None,99.90152716636658
50,20,adam,MeanSquaredError,random_uniform,None,99.90152716636658
50,50,adam,MeanSquaredError,random_uniform,None,99.87691044807434
50,75,adam,MeanSquaredError,random_uniform,None,81.88084959983826
50,100,adam,MeanSquaredError,random_uniform,None,99.90152716636658
75,5,adam,MeanSquaredError,random_uniform,None,97.538161277771
75,10,adam,MeanSquaredError,random_uniform,None,97.58739471435547
75,20,adam,MeanSquaredError,random_uniform,None,97.538161277771
75,50,adam,MeanSquaredError,random_uniform,None,99.90152716636658
75,75,adam,MeanSquaredError,random_uniform,None,99.90152716636658
75,100,adam,MeanSquaredError,random_uniform,None,97.538161277771
100,5,adam,MeanSquaredError,random_uniform,None,99.90152716636658
100,10,adam,MeanSquaredError,random_uniform,None,99.90152716636658
100,20,adam,MeanSquaredError,random_uniform,None,99.90152716636658
100,50,adam,MeanSquaredError,random_uniform,None,99.90152716636658
100,75,adam,MeanSquaredError,random_uniform,None,99.90152716636658
100,100,adam,MeanSquaredError,random_uniform,None,99.90152716636658
5,5,adam,MeanSquaredError,random_uniform,zeros,81.88084959983826
5,10,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
5,20,adam,MeanSquaredError,random_uniform,zeros,99.85228776931763
5,50,adam,MeanSquaredError,random_uniform,zeros,97.48892188072205
5,75,adam,MeanSquaredError,random_uniform,zeros,97.51353859901428
5,100,adam,MeanSquaredError,random_uniform,zeros,81.88084959983826
